it,par,PosPn100,PosPn101,PosPn102,PsoPn401,Cost,VelPn100,VelPn101,VelPn102,VelPn401,PBPosPn100,PBPosPn101,PBPosPn102,PBPosPn401,PBCost,GBPosPn100,GBPosPn101,GBPosPn102,GBPosPn401,GPCost,
0,1,10,15,10,0,20.6155,0,0,0,0,10,15,10,0,20.6155,10,15,10,0,20.6155,,
0,2,12281.5,24421.1,3323.26,39720.6,48332.1,0,0,0,0,12281.5,24421.1,3323.26,39720.6,48332.1,10,15,10,0,20.6155,,
0,3,7858.49,29062.1,17334,28394.4,44867.3,0,0,0,0,7858.49,29062.1,17334,28394.4,44867.3,10,15,10,0,20.6155,,
0,4,13910.3,35569.7,13766.4,5636.09,40987.6,0,0,0,0,13910.3,35569.7,13766.4,5636.09,40987.6,10,15,10,0,20.6155,,
0,5,9538.61,22023.3,7507.7,46436.7,52808.6,0,0,0,0,9538.61,22023.3,7507.7,46436.7,52808.6,10,15,10,0,20.6155,,
0,6,18884.2,49784.7,7449.74,23886.4,58831.9,0,0,0,0,18884.2,49784.7,7449.74,23886.4,58831.9,10,15,10,0,20.6155,,
0,7,11255.3,3545.32,19542.5,12764.2,26155,0,0,0,0,11255.3,3545.32,19542.5,12764.2,26155,10,15,10,0,20.6155,,
0,8,9629.5,10720,14125.7,39822.6,44643.3,0,0,0,0,9629.5,10720,14125.7,39822.6,44643.3,10,15,10,0,20.6155,,
0,9,11589.6,18405.5,11747.7,1260.02,24752.3,0,0,0,0,11589.6,18405.5,11747.7,1260.02,24752.3,10,15,10,0,20.6155,,
0,10,7605.92,43264.6,136.283,3040.05,44033.3,0,0,0,0,7605.92,43264.6,136.283,3040.05,44033.3,10,15,10,0,20.6155,,
0,11,12948.9,15550,7893.87,27970.4,35413.7,0,0,0,0,12948.9,15550,7893.87,27970.4,35413.7,10,15,10,0,20.6155,,
0,12,14057.4,32051.9,18523,11876.2,41341,0,0,0,0,14057.4,32051.9,18523,11876.2,41341,10,15,10,0,20.6155,,
0,13,13045.3,45007.9,8682.07,38302.6,61142.1,0,0,0,0,13045.3,45007.9,8682.07,38302.6,61142.1,10,15,10,0,20.6155,,
0,14,19824.9,39175,12759.7,2862.04,45811.7,0,0,0,0,19824.9,39175,12759.7,2862.04,45811.7,10,15,10,0,20.6155,,
0,15,36.8429,44956.3,14464.3,47002.7,66629.9,0,0,0,0,36.8429,44956.3,14464.3,47002.7,66629.9,10,15,10,0,20.6155,,
0,16,16134,16796.5,12283.3,55972.9,61856.8,0,0,0,0,16134,16796.5,12283.3,55972.9,61856.8,10,15,10,0,20.6155,,
0,17,8423.41,43808.2,17859.3,7012.11,48561.7,0,0,0,0,8423.41,43808.2,17859.3,7012.11,48561.7,10,15,10,0,20.6155,,
0,18,1019.05,19850.4,17488.4,8868.13,27920.7,0,0,0,0,1019.05,19850.4,17488.4,8868.13,27920.7,10,15,10,0,20.6155,,
0,19,7152.64,25436.5,18219.2,34270.5,46953,0,0,0,0,7152.64,25436.5,18219.2,34270.5,46953,10,15,10,0,20.6155,,
0,20,8761.99,1514.61,15042.6,34842.5,38978.8,0,0,0,0,8761.99,1514.61,15042.6,34842.5,38978.8,10,15,10,0,20.6155,,
1,1,10,15,10,0,20.6155,0,0,0,0,10,15,10,0,20.6155,10,15,10,0,20.6155,,
1,2,10864.9,9065.59,1958.5,38355.8,40929.7,-1416.51,-15355.5,-1364.76,-1364.76,10864.9,9065.59,1958.5,38355.8,40929.7,10,15,10,0,20.6155,,
1,3,6745.74,13706.6,12197,23257.5,30381.8,-1112.74,-15355.5,-5136.98,-5136.98,6745.74,13706.6,12197,23257.5,30381.8,10,15,10,0,20.6155,,
1,4,7913.33,20214.2,7769.36,0,23056.4,-5997,-15355.5,-5997,-5997,7913.33,20214.2,7769.36,0,23056.4,10,15,10,0,20.6155,,
1,5,8800.26,11434.4,3057.1,41986.1,44501.3,-738.343,-10588.9,-4450.6,-4450.6,8800.26,11434.4,3057.1,41986.1,44501.3,10,15,10,0,20.6155,,
1,6,12887.2,34429.2,1452.74,17889.4,40909.6,-5997,-15355.5,-5997,-5997,12887.2,34429.2,1452.74,17889.4,40909.6,10,15,10,0,20.6155,,
1,7,5258.33,15,13545.5,6767.2,16028.9,-5997,-4459.72,-5997,-5997,5258.33,15,13545.5,6767.2,16028.9,10,15,10,0,20.6155,,
1,8,3632.5,4759.05,8128.68,33825.6,35300,-5997,-5960.95,-5997,-5997,3632.5,4759.05,8128.68,33825.6,35300,10,15,10,0,20.6155,,
1,9,5592.64,3049.98,5750.65,0,8581.96,-5997,-15355.5,-5997,-5997,5592.64,3049.98,5750.65,0,8581.96,10,15,10,0,20.6155,,
1,10,3287.43,42855.8,13.987,2917.75,43080.6,-4318.49,-408.789,-122.296,-122.296,3287.43,42855.8,13.987,2917.75,43080.6,10,15,10,0,20.6155,,
1,11,6951.87,194.483,1896.87,21973.4,23125.7,-5997,-15355.5,-5997,-5997,6951.87,194.483,1896.87,21973.4,23125.7,10,15,10,0,20.6155,,
1,12,8060.36,16696.4,18485.8,11839,28733.7,-5997,-15355.5,-37.1944,-37.1944,8060.36,16696.4,18485.8,11839,28733.7,10,15,10,0,20.6155,,
1,13,7048.26,29652.4,3221.15,32841.7,44920.9,-5997,-15355.5,-5460.92,-5460.92,7048.26,29652.4,3221.15,32841.7,44920.9,10,15,10,0,20.6155,,
1,14,18328.4,23819.5,6762.75,0,30806.4,-1496.49,-15355.5,-5997,-5997,18328.4,23819.5,6762.75,0,30806.4,10,15,10,0,20.6155,,
1,15,19.2593,29600.8,8467.27,41005.7,51277.4,-17.5836,-15355.5,-5997,-5997,19.2593,29600.8,8467.27,41005.7,51277.4,10,15,10,0,20.6155,,
1,16,10137,1441.03,6286.29,49975.9,51399.8,-5997,-15355.5,-5997,-5997,10137,1441.03,6286.29,49975.9,51399.8,10,15,10,0,20.6155,,
1,17,2426.41,28452.7,11862.3,1015.11,30938.4,-5997,-15355.5,-5997,-5997,2426.41,28452.7,11862.3,1015.11,30938.4,10,15,10,0,20.6155,,
1,18,931.875,4494.92,11491.4,2871.13,12703.1,-87.1726,-15355.5,-5997,-5997,931.875,4494.92,11491.4,2871.13,12703.1,10,15,10,0,20.6155,,
1,19,1155.64,11319.1,12222.2,28273.5,32836.5,-5997,-14117.3,-5997,-5997,1155.64,11319.1,12222.2,28273.5,32836.5,10,15,10,0,20.6155,,
1,20,2764.99,1212.5,12329.9,32129.9,34546.6,-5997,-302.106,-2712.68,-2712.68,2764.99,1212.5,12329.9,32129.9,34546.6,10,15,10,0,20.6155,,
